"Statistic Label","Month","Meteorological Weather Station","UNIT","VALUE"
"Precipitation Amount","1961 July","Casement","Millimetres",""
"Precipitation Amount","1961 July","Phoenix Park","Millimetres",""
"Precipitation Amount","1961 July","Roches Point","Millimetres",""
"Precipitation Amount","1961 July","Markree","Millimetres",""
"Precipitation Amount","1961 August","Malin Head","Millimetres","131.2"
"Precipitation Amount","1961 August","Claremorris","Millimetres","81.5"
"Precipitation Amount","1961 August","Valentia Observatory","Millimetres","47"
"Precipitation Amount","1961 August","Belmullet","Millimetres","96"
"Precipitation Amount","1961 August","Shannon Airport","Millimetres","76.5"
"Precipitation Amount","1961 August","Dublin Airport","Millimetres","47.3"
"Precipitation Amount","1961 August","Mullingar","Millimetres","74.1"
"Precipitation Amount","1961 August","Cork Airport","Millimetres",""
"Precipitation Amount","1961 August","Casement","Millimetres",""
"Precipitation Amount","1961 August","Phoenix Park","Millimetres",""
"Precipitation Amount","1961 August","Roches Point","Millimetres",""
"Precipitation Amount","1961 August","Markree","Millimetres",""
"Precipitation Amount","1961 September","Malin Head","Millimetres","92.2"
"Precipitation Amount","1961 September","Claremorris","Millimetres","148"
"Precipitation Amount","1961 September","Valentia Observatory","Millimetres","205.3"
"Precipitation Amount","1961 September","Belmullet","Millimetres","137.4"
"Precipitation Amount","1961 September","Shannon Airport","Millimetres","94.2"
"Precipitation Amount","1961 September","Dublin Airport","Millimetres","86.4"
"Precipitation Amount","1961 September","Mullingar","Millimetres","115.7"
"Precipitation Amount","1961 September","Cork Airport","Millimetres",""
"Precipitation Amount","1961 September","Casement","Millimetres",""
"Precipitation Amount","1961 September","Phoenix Park","Millimetres",""
"Precipitation Amount","1961 September","Roches Point","Millimetres",""
"Precipitation Amount","1961 September","Markree","Millimetres",""
"Precipitation Amount","1961 October","Malin Head","Millimetres","101.8"
"Precipitation Amount","1961 October","Claremorris","Millimetres","143.5"
"Precipitation Amount","1961 October","Valentia Observatory","Millimetres","173.6"
"Precipitation Amount","1961 October","Belmullet","Millimetres","194.8"
"Precipitation Amount","1961 October","Shannon Airport","Millimetres","84.8"
"Precipitation Amount","1961 October","Dublin Airport","Millimetres","58.8"
"Precipitation Amount","1961 October","Mullingar","Millimetres","73.5"
"Precipitation Amount","1961 October","Cork Airport","Millimetres",""
"Precipitation Amount","1961 October","Casement","Millimetres",""
"Precipitation Amount","1961 October","Phoenix Park","Millimetres",""
"Precipitation Amount","1961 October","Roches Point","Millimetres",""
"Precipitation Amount","1961 October","Markree","Millimetres",""
"Precipitation Amount","1961 November","Malin Head","Millimetres","90.7"
"Precipitation Amount","1961 November","Claremorris","Millimetres","84.1"
"Precipitation Amount","1961 November","Valentia Observatory","Millimetres","92.8"
"Precipitation Amount","1961 November","Belmullet","Millimetres","111.7"
"Precipitation Amount","1961 November","Shannon Airport","Millimetres","67.4"
"Precipitation Amount","1961 November","Dublin Airport","Millimetres","52.8"
